2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=56 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=57 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=58 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=59 Enable=0.

2026-03-16 16:14:18.504 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=60 Enable=0.

2026-03-16 16:14:18.505 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=61 Enable=0.

2026-03-16 16:14:18.505 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=62 Enable=0.

2026-03-16 16:14:18.505 INFO  [19732] [CDongleV5::GetLicenseInfo@589] MV_GetAlgAbility Index=63 Enable=0.

2026-03-16 16:14:18.112 INFO  [27328] [InitPluginInstance@33] InitPluginInstance - Begin

2026-03-16 16:14:18.112 INFO  [27328] [CMonitorResourceUsage::Init@47] Init begin.

2026-03-16 16:14:18.112 INFO  [27328] [GetDllFilePath@262] path[C:\Program Files\VisionMaster4.4.0\Applications\Server]

2026-03-16 16:14:18.112 INFO  [27328] [CMonitorResourceUsage::LoadCfgParam@449] Now resource monitor interval[5]

2026-03-16 16:14:18.112 INFO  [27328] [CMonitorResourceUsage::StartMonitorThread@90] StartMonitorThread begin.

2026-03-16 16:14:18.112 INFO  [27328] [CMonitorResourceUsage::StartMonitorThread@121] StartCheckThread end.

2026-03-16 16:14:18.113 INFO  [27328] [InitPluginInstance@39] InitPluginInstance - End

2026-03-16 16:14:18.116 INFO  [27156] [CMonitorResourceUsage::DoMonitorRes@176] DoMonitorResource begin.

